================ Training Loss (Thu May 25 06:05:14 2023) ================
(epoch: 85, iters: 80, time: 0.879, data: 0.001) D_A: 0.041 G_A: 0.799 cycle_A: 1.227 idt_A: 0.259 D_B: 0.115 G_B: 0.766 cycle_B: 0.723 idt_B: 0.621 
(epoch: 87, iters: 20, time: 0.189, data: 0.469) D_A: 0.103 G_A: 0.573 cycle_A: 1.153 idt_A: 0.404 D_B: 0.195 G_B: 0.546 cycle_B: 0.860 idt_B: 0.706 
(epoch: 88, iters: 40, time: 0.189, data: 0.001) D_A: 0.218 G_A: 0.509 cycle_A: 1.476 idt_A: 0.725 D_B: 0.242 G_B: 0.118 cycle_B: 1.291 idt_B: 0.503 
(epoch: 89, iters: 60, time: 0.189, data: 0.001) D_A: 0.210 G_A: 0.193 cycle_A: 1.419 idt_A: 0.457 D_B: 0.082 G_B: 0.349 cycle_B: 1.794 idt_B: 0.521 
(epoch: 90, iters: 80, time: 0.889, data: 0.002) D_A: 0.326 G_A: 0.388 cycle_A: 0.933 idt_A: 1.156 D_B: 0.243 G_B: 0.142 cycle_B: 1.956 idt_B: 0.341 
(epoch: 92, iters: 20, time: 0.189, data: 0.457) D_A: 0.394 G_A: 0.066 cycle_A: 1.197 idt_A: 1.076 D_B: 0.222 G_B: 0.591 cycle_B: 2.604 idt_B: 0.747 
(epoch: 93, iters: 40, time: 0.189, data: 0.002) D_A: 0.092 G_A: 0.439 cycle_A: 1.012 idt_A: 0.404 D_B: 0.202 G_B: 0.515 cycle_B: 1.169 idt_B: 0.436 
(epoch: 94, iters: 60, time: 0.189, data: 0.002) D_A: 0.439 G_A: 0.788 cycle_A: 1.154 idt_A: 0.385 D_B: 0.415 G_B: 0.147 cycle_B: 1.191 idt_B: 0.293 
(epoch: 95, iters: 80, time: 0.938, data: 0.001) D_A: 0.105 G_A: 0.978 cycle_A: 1.626 idt_A: 0.613 D_B: 0.049 G_B: 0.759 cycle_B: 1.497 idt_B: 0.452 
(epoch: 97, iters: 20, time: 0.190, data: 0.421) D_A: 0.319 G_A: 0.051 cycle_A: 1.455 idt_A: 0.416 D_B: 0.155 G_B: 1.141 cycle_B: 1.204 idt_B: 0.353 
(epoch: 98, iters: 40, time: 0.189, data: 0.001) D_A: 0.270 G_A: 0.216 cycle_A: 0.752 idt_A: 0.651 D_B: 0.165 G_B: 0.105 cycle_B: 1.244 idt_B: 0.331 
(epoch: 99, iters: 60, time: 0.189, data: 0.002) D_A: 0.279 G_A: 0.377 cycle_A: 1.011 idt_A: 0.394 D_B: 0.186 G_B: 0.435 cycle_B: 0.864 idt_B: 0.514 
(epoch: 100, iters: 80, time: 1.103, data: 0.002) D_A: 0.214 G_A: 0.473 cycle_A: 1.718 idt_A: 0.450 D_B: 0.078 G_B: 0.729 cycle_B: 1.065 idt_B: 0.669 
(epoch: 102, iters: 20, time: 0.189, data: 0.400) D_A: 0.239 G_A: 1.043 cycle_A: 0.770 idt_A: 0.441 D_B: 0.080 G_B: 0.117 cycle_B: 1.119 idt_B: 0.333 
(epoch: 103, iters: 40, time: 0.189, data: 0.002) D_A: 0.190 G_A: 0.413 cycle_A: 1.183 idt_A: 0.321 D_B: 0.168 G_B: 0.784 cycle_B: 0.873 idt_B: 0.541 
(epoch: 104, iters: 60, time: 0.189, data: 0.002) D_A: 0.137 G_A: 0.422 cycle_A: 1.083 idt_A: 0.262 D_B: 0.269 G_B: 0.237 cycle_B: 0.714 idt_B: 0.552 
(epoch: 105, iters: 80, time: 0.990, data: 0.002) D_A: 0.062 G_A: 0.565 cycle_A: 0.838 idt_A: 0.299 D_B: 0.224 G_B: 0.307 cycle_B: 0.785 idt_B: 0.331 
(epoch: 107, iters: 20, time: 0.189, data: 0.408) D_A: 0.243 G_A: 0.324 cycle_A: 0.706 idt_A: 0.371 D_B: 0.141 G_B: 0.500 cycle_B: 1.003 idt_B: 0.379 
(epoch: 108, iters: 40, time: 0.189, data: 0.001) D_A: 0.172 G_A: 0.725 cycle_A: 1.061 idt_A: 0.533 D_B: 0.095 G_B: 0.540 cycle_B: 0.812 idt_B: 0.345 
(epoch: 109, iters: 60, time: 0.189, data: 0.002) D_A: 0.198 G_A: 0.399 cycle_A: 1.607 idt_A: 0.675 D_B: 0.125 G_B: 0.376 cycle_B: 1.356 idt_B: 0.505 
(epoch: 110, iters: 80, time: 1.015, data: 0.002) D_A: 0.087 G_A: 0.354 cycle_A: 0.793 idt_A: 0.493 D_B: 0.167 G_B: 0.214 cycle_B: 0.951 idt_B: 0.406 
(epoch: 112, iters: 20, time: 0.189, data: 0.393) D_A: 0.318 G_A: 0.193 cycle_A: 0.719 idt_A: 0.672 D_B: 0.140 G_B: 0.362 cycle_B: 1.333 idt_B: 0.334 
(epoch: 113, iters: 40, time: 0.189, data: 0.001) D_A: 0.084 G_A: 0.319 cycle_A: 0.847 idt_A: 0.409 D_B: 0.145 G_B: 0.363 cycle_B: 0.983 idt_B: 0.343 
(epoch: 114, iters: 60, time: 0.189, data: 0.002) D_A: 0.033 G_A: 0.879 cycle_A: 1.171 idt_A: 0.393 D_B: 0.121 G_B: 0.352 cycle_B: 1.458 idt_B: 0.353 
(epoch: 115, iters: 80, time: 1.277, data: 0.002) D_A: 0.084 G_A: 0.535 cycle_A: 0.944 idt_A: 0.469 D_B: 0.093 G_B: 0.591 cycle_B: 0.977 idt_B: 0.553 
(epoch: 117, iters: 20, time: 0.190, data: 0.397) D_A: 0.171 G_A: 0.417 cycle_A: 0.707 idt_A: 0.303 D_B: 0.056 G_B: 0.325 cycle_B: 0.992 idt_B: 0.326 
(epoch: 118, iters: 40, time: 0.189, data: 0.001) D_A: 0.198 G_A: 0.683 cycle_A: 0.750 idt_A: 0.910 D_B: 0.143 G_B: 0.310 cycle_B: 1.909 idt_B: 0.307 
(epoch: 119, iters: 60, time: 0.189, data: 0.001) D_A: 0.117 G_A: 0.652 cycle_A: 1.391 idt_A: 0.305 D_B: 0.214 G_B: 0.027 cycle_B: 0.843 idt_B: 0.580 
(epoch: 120, iters: 80, time: 1.145, data: 0.001) D_A: 0.035 G_A: 0.972 cycle_A: 0.804 idt_A: 0.268 D_B: 0.090 G_B: 0.447 cycle_B: 0.749 idt_B: 0.331 
(epoch: 122, iters: 20, time: 0.190, data: 0.349) D_A: 0.052 G_A: 0.889 cycle_A: 1.048 idt_A: 0.581 D_B: 0.039 G_B: 0.242 cycle_B: 1.050 idt_B: 0.462 
(epoch: 123, iters: 40, time: 0.189, data: 0.002) D_A: 0.158 G_A: 0.129 cycle_A: 1.448 idt_A: 0.503 D_B: 0.061 G_B: 0.701 cycle_B: 1.025 idt_B: 0.727 
(epoch: 124, iters: 60, time: 0.189, data: 0.001) D_A: 0.123 G_A: 0.392 cycle_A: 1.270 idt_A: 0.323 D_B: 0.137 G_B: 0.218 cycle_B: 0.951 idt_B: 0.553 
(epoch: 125, iters: 80, time: 1.287, data: 0.001) D_A: 0.274 G_A: 0.097 cycle_A: 0.913 idt_A: 0.299 D_B: 0.043 G_B: 0.595 cycle_B: 0.861 idt_B: 0.400 
(epoch: 127, iters: 20, time: 0.189, data: 0.414) D_A: 0.182 G_A: 0.787 cycle_A: 0.649 idt_A: 0.413 D_B: 0.195 G_B: 0.740 cycle_B: 0.804 idt_B: 0.285 
(epoch: 128, iters: 40, time: 0.189, data: 0.001) D_A: 0.149 G_A: 0.782 cycle_A: 1.040 idt_A: 0.381 D_B: 0.106 G_B: 0.419 cycle_B: 0.905 idt_B: 0.356 
(epoch: 129, iters: 60, time: 0.189, data: 0.001) D_A: 0.309 G_A: 0.282 cycle_A: 1.088 idt_A: 0.318 D_B: 0.235 G_B: 0.105 cycle_B: 0.963 idt_B: 0.405 
(epoch: 130, iters: 80, time: 1.212, data: 0.001) D_A: 0.328 G_A: 1.068 cycle_A: 1.025 idt_A: 0.562 D_B: 0.144 G_B: 0.200 cycle_B: 1.244 idt_B: 0.380 
(epoch: 132, iters: 20, time: 0.189, data: 0.452) D_A: 0.277 G_A: 0.371 cycle_A: 0.688 idt_A: 0.633 D_B: 0.197 G_B: 0.616 cycle_B: 1.483 idt_B: 0.297 
(epoch: 133, iters: 40, time: 0.188, data: 0.002) D_A: 0.144 G_A: 0.596 cycle_A: 1.066 idt_A: 0.368 D_B: 0.132 G_B: 0.659 cycle_B: 0.877 idt_B: 0.424 
(epoch: 134, iters: 60, time: 0.189, data: 0.001) D_A: 0.081 G_A: 0.478 cycle_A: 0.861 idt_A: 0.225 D_B: 0.103 G_B: 0.461 cycle_B: 0.594 idt_B: 0.340 
(epoch: 135, iters: 80, time: 1.392, data: 0.001) D_A: 0.073 G_A: 0.560 cycle_A: 1.206 idt_A: 0.346 D_B: 0.196 G_B: 1.018 cycle_B: 0.703 idt_B: 0.778 
(epoch: 137, iters: 20, time: 0.187, data: 0.413) D_A: 0.118 G_A: 0.480 cycle_A: 0.974 idt_A: 0.628 D_B: 0.152 G_B: 0.233 cycle_B: 1.271 idt_B: 0.407 
(epoch: 138, iters: 40, time: 0.189, data: 0.002) D_A: 0.080 G_A: 0.727 cycle_A: 1.609 idt_A: 0.403 D_B: 0.155 G_B: 0.276 cycle_B: 1.187 idt_B: 0.587 
(epoch: 139, iters: 60, time: 0.189, data: 0.002) D_A: 0.110 G_A: 0.447 cycle_A: 1.069 idt_A: 0.208 D_B: 0.041 G_B: 0.489 cycle_B: 0.630 idt_B: 0.527 
(epoch: 140, iters: 80, time: 1.189, data: 0.001) D_A: 0.077 G_A: 0.066 cycle_A: 1.092 idt_A: 0.306 D_B: 0.259 G_B: 0.288 cycle_B: 0.845 idt_B: 0.338 
(epoch: 142, iters: 20, time: 0.190, data: 0.378) D_A: 0.200 G_A: 0.766 cycle_A: 0.776 idt_A: 0.391 D_B: 0.227 G_B: 0.347 cycle_B: 1.144 idt_B: 0.358 
(epoch: 143, iters: 40, time: 0.189, data: 0.001) D_A: 0.061 G_A: 0.537 cycle_A: 1.666 idt_A: 0.331 D_B: 0.072 G_B: 0.628 cycle_B: 0.778 idt_B: 0.456 
(epoch: 144, iters: 60, time: 0.189, data: 0.001) D_A: 0.054 G_A: 0.381 cycle_A: 1.311 idt_A: 0.249 D_B: 0.078 G_B: 0.298 cycle_B: 0.855 idt_B: 0.660 
(epoch: 145, iters: 80, time: 1.205, data: 0.002) D_A: 0.057 G_A: 0.440 cycle_A: 1.441 idt_A: 0.737 D_B: 0.118 G_B: 0.572 cycle_B: 1.441 idt_B: 0.305 
(epoch: 147, iters: 20, time: 0.188, data: 0.390) D_A: 0.101 G_A: 0.447 cycle_A: 0.961 idt_A: 0.725 D_B: 0.130 G_B: 0.788 cycle_B: 1.567 idt_B: 0.580 
(epoch: 148, iters: 40, time: 0.190, data: 0.001) D_A: 0.227 G_A: 0.297 cycle_A: 0.789 idt_A: 0.262 D_B: 0.130 G_B: 0.389 cycle_B: 0.987 idt_B: 0.374 
(epoch: 149, iters: 60, time: 0.189, data: 0.002) D_A: 0.078 G_A: 0.532 cycle_A: 0.761 idt_A: 0.221 D_B: 0.367 G_B: 0.054 cycle_B: 0.558 idt_B: 0.390 
(epoch: 150, iters: 80, time: 1.435, data: 0.001) D_A: 0.256 G_A: 0.150 cycle_A: 0.843 idt_A: 0.299 D_B: 0.079 G_B: 0.308 cycle_B: 0.852 idt_B: 0.354 
(epoch: 152, iters: 20, time: 0.189, data: 0.415) D_A: 0.092 G_A: 0.218 cycle_A: 1.270 idt_A: 0.324 D_B: 0.279 G_B: 0.825 cycle_B: 0.777 idt_B: 0.427 
(epoch: 153, iters: 40, time: 0.189, data: 0.002) D_A: 0.030 G_A: 0.944 cycle_A: 0.641 idt_A: 0.476 D_B: 0.144 G_B: 0.291 cycle_B: 1.000 idt_B: 0.212 
(epoch: 154, iters: 60, time: 0.189, data: 0.001) D_A: 0.107 G_A: 0.697 cycle_A: 0.736 idt_A: 0.318 D_B: 0.443 G_B: 0.048 cycle_B: 0.842 idt_B: 0.297 
(epoch: 155, iters: 80, time: 1.250, data: 0.001) D_A: 0.108 G_A: 0.475 cycle_A: 0.871 idt_A: 0.483 D_B: 0.045 G_B: 0.708 cycle_B: 1.257 idt_B: 0.338 
(epoch: 157, iters: 20, time: 0.189, data: 0.387) D_A: 0.098 G_A: 0.551 cycle_A: 1.132 idt_A: 0.287 D_B: 0.099 G_B: 0.326 cycle_B: 0.778 idt_B: 0.464 
(epoch: 158, iters: 40, time: 0.189, data: 0.001) D_A: 0.031 G_A: 0.868 cycle_A: 0.841 idt_A: 0.264 D_B: 0.201 G_B: 0.271 cycle_B: 0.950 idt_B: 0.356 
(epoch: 159, iters: 60, time: 0.189, data: 0.001) D_A: 0.071 G_A: 0.812 cycle_A: 1.208 idt_A: 0.311 D_B: 0.061 G_B: 0.635 cycle_B: 1.023 idt_B: 0.530 
(epoch: 160, iters: 80, time: 1.450, data: 0.002) D_A: 0.196 G_A: 0.194 cycle_A: 1.203 idt_A: 0.344 D_B: 0.109 G_B: 0.657 cycle_B: 0.763 idt_B: 0.422 
(epoch: 162, iters: 20, time: 0.188, data: 0.433) D_A: 0.190 G_A: 0.251 cycle_A: 0.849 idt_A: 0.376 D_B: 0.162 G_B: 0.457 cycle_B: 0.839 idt_B: 0.401 
